File Name,Model,Node Count,Input Count,Output Count,Num Params,Model Size
cascade-rcnn_r101_fpn_20e_coco,cascade-rcnn_r101_fpn_20e_coco.onnx,1466,1,2,88334414,336.9690475463867
cascade-rcnn_r50_fpn_20e_coco,cascade-rcnn_r50_fpn_20e_coco.onnx,1347,1,2,69368398,264.6194381713867
cascade-rcnn_x101-32x4d_fpn_1x_coco,cascade-rcnn_x101-32x4d_fpn_1x_coco.onnx,1466,1,2,87946702,335.4900436401367
cascade-rcnn_x101-64x4d_fpn_1x_coco,cascade-rcnn_x101-64x4d_fpn_1x_coco.onnx,1466,1,2,127191758,485.1980514526367
detr_r50_8xb2-150e_coco,detr_r50_8xb2-150e_coco.onnx,948,1,2,41547466,158.49100494384766
faster-rcnn_r101-caffe_fpn_1x_coco,faster-rcnn_r101-caffe_fpn_1x_coco.onnx,1117,1,2,60692702,231.52428436279297
faster-rcnn_r101_fpn_ms-3x_coco,faster-rcnn_r101_fpn_ms-3x_coco.onnx,1117,1,2,60692702,231.52428436279297
faster-rcnn_r50_fpn_bounded-iou_1x_coco,faster-rcnn_r50_fpn_bounded-iou_1x_coco.onnx,998,1,2,41726686,159.17467498779297
faster-rcnn_r50_fpn_giou_1x_coco,faster-rcnn_r50_fpn_giou_1x_coco.onnx,998,1,2,41726686,159.17467498779297
faster-rcnn_r50_fpn_iou_1x_coco,faster-rcnn_r50_fpn_iou_1x_coco.onnx,998,1,2,41726686,159.17467498779297
faster-rcnn_r50_fpn_ms-3x_coco,faster-rcnn_r50_fpn_ms-3x_coco.onnx,998,1,2,41726686,159.17467498779297
fcos_r101-caffe_fpn_gn-head_ms-640-800-2x_coco,fcos_r101-caffe_fpn_gn-head_ms-640-800-2x_coco.onnx,1168,1,2,51234883,195.4455680847168
fcos_r50-caffe_fpn_gn-head-center-normbbox-centeronreg-giou_1x_coco,fcos_r50-caffe_fpn_gn-head-center-normbbox-centeronreg-giou_1x_coco.onnx,1054,1,2,32270915,123.1037712097168
fcos_r50-caffe_fpn_gn-head_ms-640-800-2x_coco,fcos_r50-caffe_fpn_gn-head_ms-640-800-2x_coco.onnx,1049,1,2,32268867,123.0959587097168
fcos_x101-64x4d_fpn_gn-head_ms-640-800-2x_coco,fcos_x101-64x4d_fpn_gn-head_ms-640-800-2x_coco.onnx,1168,1,2,90092227,343.6745719909668
fovea_r101_fpn_4xb4-2x_coco,fovea_r101_fpn_4xb4-2x_coco.onnx,707,1,2,55359223,211.1786766052246
fovea_r50_fpn_4xb4-2x_coco,fovea_r50_fpn_4xb4-2x_coco.onnx,588,1,2,36393207,138.8290672302246
fsaf_r101_fpn_1x_coco,fsaf_r101_fpn_1x_coco.onnx,864,1,2,55359250,211.17877960205078
fsaf_r50_fpn_1x_coco,fsaf_r50_fpn_1x_coco.onnx,745,1,2,36393234,138.82917022705078
fsaf_x101-64x4d_fpn_1x_coco,fsaf_x101-64x4d_fpn_1x_coco.onnx,864,1,2,94216594,359.4077835083008
gfl_r101_fpn_ms-2x_coco,gfl_r101_fpn_ms-2x_coco.onnx,1193,1,2,51380136,195.99966430664062
gfl_r50_fpn_ms-2x_coco,gfl_r50_fpn_ms-2x_coco.onnx,1074,1,2,32414120,123.65005493164062
mask-rcnn_x101-32x8d_fpn_ms-poly-3x_coco,mask-rcnn_x101-32x8d_fpn_ms-poly-3x_coco.onnx,1273,1,3,107529395,410.19208908081055
retinanet_r101-caffe_fpn_ms-3x_coco,retinanet_r101-caffe_fpn_ms-3x_coco.onnx,871,1,2,56908380,217.08824157714844
retinanet_r101_fpn_ms-640-800-3x_coco,retinanet_r101_fpn_ms-640-800-3x_coco.onnx,871,1,2,56908380,217.08824157714844
retinanet_r18_fpn_1x_coco,retinanet_r18_fpn_1x_coco.onnx,679,1,2,21405532,81.65562438964844
retinanet_r50-caffe_fpn_1x_coco,retinanet_r50-caffe_fpn_1x_coco.onnx,752,1,2,37942364,144.73863220214844
retinanet_r50_fpn_ms-640-800-3x_coco,retinanet_r50_fpn_ms-640-800-3x_coco.onnx,752,1,2,37942364,144.73863220214844
retinanet_x101-32x4d_fpn_2x_coco,retinanet_x101-32x4d_fpn_2x_coco.onnx,871,1,2,56520668,215.60923767089844
retinanet_x101-64x4d_fpn_ms-640-800-3x_coco,retinanet_x101-64x4d_fpn_ms-640-800-3x_coco.onnx,871,1,2,95765724,365.31724548339844
rtmdet_l_8xb32-300e_coco,rtmdet_l_8xb32-300e_coco.onnx,706,1,2,56994559,217.41698837280273
rtmdet_m_8xb32-300e_coco,rtmdet_m_8xb32-300e_coco.onnx,611,1,2,27339143,104.29055404663086
rtmdet_s_8xb32-300e_coco,rtmdet_s_8xb32-300e_coco.onnx,513,1,2,10054159,38.353572845458984
rtmdet_tiny_8xb32-300e_coco,rtmdet_tiny_8xb32-300e_coco.onnx,493,1,2,5550851,21.174816131591797
rtmdet_x_8xb32-300e_coco,rtmdet_x_8xb32-300e_coco.onnx,801,1,2,102169207,389.7445945739746
ssd300_coco,ssd300_coco.onnx,672,1,2,34305379,130.8646354675293
ssd512_coco,ssd512_coco.onnx,749,1,2,36038394,137.4755630493164
ssdlite_mobilenetv2-scratch_8xb24-600e_coco,ssdlite_mobilenetv2-scratch_8xb24-600e_coco.onnx,760,1,2,4204569,16.03915786743164
yolov3_d53_8xb8-amp-ms-608-273e_coco,yolov3_d53_8xb8-amp-ms-608-273e_coco.onnx,485,1,2,61922919,236.21718978881836
yolov3_mobilenetv2_8xb24-320-300e_coco,yolov3_mobilenetv2_8xb24-320-300e_coco.onnx,453,1,2,3307335,12.61648178100586
yolov3_mobilenetv2_8xb24-ms-416-300e_coco,yolov3_mobilenetv2_8xb24-ms-416-300e_coco.onnx,453,1,2,3307335,12.61648178100586
gfl_x101-32x4d_fpn_ms-2x_coco,yolov7_x_syncbn_fast_8x16b-300e_coco.onnx,672,1,2,71314819,272.0444450378418
yolox_l_8xb8-300e_coco,yolox_l_8xb8-300e_coco.onnx,672,1,2,54182709,206.69063186645508
yolox_s_8xb8-300e_coco,yolox_s_8xb8-300e_coco.onnx,514,1,2,8965141,34.19929885864258
yolox_tiny_8xb8-300e_coco,yolox_tiny_8xb8-300e_coco.onnx,514,1,2,5050778,19.267189025878906
yolox_x_8xb8-300e_coco,yolox_x_8xb8-300e_coco.onnx,751,1,2,99029413,377.7672309875488
