section,key,value
summary,model,./repghostnet_050.onnx
summary,node_count,241
summary,input_count,1
summary,output_count,1
summary,num_params,2312876
summary,model_size,8.901403427124023
parameter_data_types,FLOAT,2312876
operators,Conv,"count=95, percentage=39.41908713692946"
operators,Relu,"count=42, percentage=17.42738589211618"
operators,BatchNormalization,"count=32, percentage=13.278008298755188"
operators,Add,"count=48, percentage=19.91701244813278"
operators,ReduceMean,"count=7, percentage=2.904564315352697"
operators,HardSigmoid,"count=7, percentage=2.904564315352697"
operators,Mul,"count=7, percentage=2.904564315352697"
operators,GlobalAveragePool,"count=1, percentage=0.4149377593360996"
operators,Flatten,"count=1, percentage=0.4149377593360996"
operators,Gemm,"count=1, percentage=0.4149377593360996"
inputs,input,"dtype=FLOAT, shape=[0, 3, 224, 224]"
outputs,output,"dtype=FLOAT, shape=[0, 1000]"
